pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
REACTOME_RECYCLING_PATHWAY_OF_L1,3,-3.257941122324,-0.0121065191603834,0.666666666666667,0.00112223687741788,0.0543705804828682
GOBP_VIRAL_TRANSCRIPTION,3,-3.25585183589794,-0.112980150201726,1,0.00113052729981654,0.0543705804828682
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,3,-3.25530151073568,-0.138296040141206,1,0.00113272042672642,0.0543705804828682
REACTOME_FLT3_SIGNALING_IN_DISEASE,3,-3.23417762743922,-0.0527063188499072,0.666666666666667,0.0012199355672229,0.0580147136412666
GOBP_QUINONE_METABOLIC_PROCESS,3,3.2081781418347,0.074879298694158,1,0.00133578730534618,0.0629413174335595
GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL,3,-3.2025618639304,-0.0442043958447379,0.666666666666667,0.00136211040421177,0.0635981730548333
GOBP_LEUKOCYTE_DEGRANULATION,3,-3.17870493323232,-0.0618161185888447,1,0.0014793460109915,0.0684497397518229
REACTOME_SIGNALING_BY_ERBB2,3,-3.17455733328508,-0.0142707868812402,0.333333333333333,0.00150065241329318,0.0688156320953017
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE,3,-3.161987315245,-0.0795148321024309,0.666666666666667,0.00156696389925207,0.0712205892615809
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,3,-3.15869621936486,-0.0631455737619068,1,0.00158476585888625,0.0713978723792964
GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION,3,-3.15225407303637,-0.0660243774318129,1,0.00162015232667398,0.0723574117373702
GOBP_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,3,-3.14674597092769,-0.106940832780904,1,0.00165098330968425,0.07307231399366
GOBP_OPSONIZATION,2,3.14434078891406,0.256799319962572,1,0.00166461462952847,0.07307231399366
REACTOME_SIGNALING_BY_VEGF,3,-3.13910710738762,-0.0618426923363734,1,0.00169463494461988,0.0737597040302348
GOBP_PROTEIN_POLYMERIZATION,3,-3.12959048443624,-0.0106704509454513,0.666666666666667,0.00175050151027469,0.0755510567795866
GOBP_SEX_DETERMINATION,3,-3.12678045093587,-0.0778076554172978,0.666666666666667,0.00176731852343129,0.0756412328028592
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION,3,-3.1155005242713,-0.0566220531423391,1,0.0018363302225056,0.0779453886180887
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS,3,-3.10311450733652,-0.110667223237533,0.666666666666667,0.00191495531470077,0.0780015824589523
REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS,3,-3.10307134190487,-0.0864978172260142,1,0.00191523464949985,0.0780015824589523
GOBP_METAPHASE_PLATE_CONGRESSION,3,-3.10290354199836,-0.127090083474627,1,0.00191632088208126,0.0780015824589523
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,3,-3.10288402885822,-0.046058375644064,0.333333333333333,0.00191644723476779,0.0780015824589523
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE,2,3.10242416581355,0.186716173938384,1,0.00191942718385544,0.0780015824589523
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,3,-3.09814742739522,-0.152077904059277,1,0.00194734528168795,0.0780015824589523
GOBP_HISTONE_H3_DEACETYLATION,3,-3.097320716706,-0.101125063145806,1,0.001952784772761,0.0780015824589523
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT,3,-3.09635570309558,-0.0747590691373336,1,0.00195915189587322,0.0780015824589523
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,3,-3.09129812634746,-0.0046524319213733,0.333333333333333,0.00199283438318613,0.0782128603954241
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,3,-3.09098825480464,-0.106026045561388,1,0.00199491524762472,0.0782128603954241
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,3,3.08750076043801,0.112186911668928,1,0.00201847255286961,0.0785369320571086
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,3,-3.08144608321009,-0.0501581261203884,1,0.00205997779995252,0.0795492178989184
GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY,3,-3.0783845389366,-0.0731452929415349,1,0.00208126162787676,0.0796643265614279
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,2,3.07476443807473,0.325076092803283,1,0.00210668871797481,0.0796643265614279
KEGG_THYROID_CANCER,3,-3.07436785440332,-0.0114329856246568,0.666666666666667,0.00210949151330884,0.0796643265614279
GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,3,-3.07162869226838,-0.0198034954305224,0.666666666666667,0.00212894369932716,0.0797059916259177
GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION,3,-3.06985419543475,-0.16641142636554,1,0.00214163295256555,0.0797059916259177
GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION,3,-3.0621605838923,-0.111478115895958,1,0.00219745530119091,0.0811951829274568
REACTOME_METABOLISM_OF_STEROID_HORMONES,3,3.05234180962459,0.106674066258668,1,0.00227063377540712,0.0819241100496671
