pathway,family
REACTOME_SIGNALING_BY_PDGF,274
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,120
REACTOME_SIGNALLING_TO_ERKS,260
REACTOME_CELLULAR_HEXOSE_TRANSPORT,275
REACTOME_METABOLISM_OF_PORPHYRINS,276
REACTOME_SIGNALING_BY_FGFR,201
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION,201
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION,201
REACTOME_GAP_JUNCTION_ASSEMBLY,237
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,237
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,277
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,236
REACTOME_CHOLESTEROL_BIOSYNTHESIS,83
REACTOME_SNRNP_ASSEMBLY,206
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,84
