pathway,z_OA,FDR_OA,z_MSC,FDR_MSC,same_dir,score
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III,-2.56007557368859,0.0519113465678584,-2.6190676415366,0.142403614822654,TRUE,2.5892356385223
GOBP_SENSORY_PERCEPTION_OF_TASTE,2.27582369914587,0.0882884069768596,2.9904047341068,0.106196173961501,TRUE,2.58463302539073
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS,3.65036132876949,0.00402500650930056,1.99367260891603,0.272354500771314,TRUE,2.57887371839526
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,-3.86088161405597,0.00225475582727221,-1.93375748181389,0.290038722960373,TRUE,2.5768675439683
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,2.71305182070543,0.0377631173670879,2.43973876568735,0.173936275686937,TRUE,2.56914679116716
GOBP_WATER_HOMEOSTASIS,2.84828240288892,0.0280110065007048,2.33863185586401,0.196064466615923,TRUE,2.56841876676574
GOBP_RAB_PROTEIN_SIGNAL_TRANSDUCTION,-2.86319682394633,0.0272656423411056,-2.32741537887181,0.198189531990897,TRUE,2.56765408795965
KEGG_GALACTOSE_METABOLISM,2.46945327974839,0.0617148867587119,2.6689683683019,0.139553612046791,TRUE,2.56533742930523
GOBP_LIPOPROTEIN_LOCALIZATION,2.58410771412646,0.0492363911226087,2.54060170577229,0.155589366512714,TRUE,2.56217003872143
GOBP_RNA_DESTABILIZATION,-3.74341628690792,0.00309511336167693,-1.943604852194,0.286860070586341,TRUE,2.55871110061154
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY,2.57571800797589,0.0501036721814804,2.53692715527506,0.155653120673997,TRUE,2.55617542392088
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION,-4.30354837829644,0.000534237748746617,-1.81228350394627,0.32316290434617,TRUE,2.55051148710168
GOBP_ACETYL_COA_METABOLIC_PROCESS,-3.99419385865065,0.00149216953579919,-1.86531171006087,0.30568903648615,TRUE,2.54301885694175
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,-3.09754659059679,0.0163902599399936,-2.15314223955321,0.234759655836198,TRUE,2.54041274162021
