gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
PCDH8,1.54293749156387,0.122845943099024,0.452146776471544,0.99043190327777,3
SPICE1,-1.54290107543955,0.122854779859454,0.452146776471544,-0.149109910165678,2
LENEP,1.54282210023834,0.122873945739217,0.452146776471544,0.216324424407696,3
NPM3,-1.54268177510834,0.122908005919392,0.452146776471544,-0.371354125386376,3
HTR1A,1.54263120052875,0.122920283356523,0.452146776471544,0.144895918038642,2
PLK4,-1.54247023375946,0.122959365873589,0.452146776471544,-0.214877612474518,3
RAB28,-1.54245592746149,0.122962839893251,0.452146776471544,-0.0985005934210536,2
TRO,-1.5422150790075,0.123021336992207,0.452234342554663,-0.0720092770535967,3
ARB2A,-1.54190995011164,0.123095477685588,0.452379349927391,-0.433575186498691,3
POLR2I,-1.54166360014807,0.123155361637942,0.452471896420719,-0.0104752215719096,2
PGS1,1.54108331370232,0.123296510409762,0.452862873023349,0.017121912406941,2
TICAM1,-1.54071165291825,0.123386979450032,0.452983849540023,0.0928035864962414,2
SLC25A23,1.54061317608971,0.123410959196753,0.452983849540023,0.0618274318365078,3
DDR2,1.54051992596187,0.123433669561753,0.452983849540023,0.0183720516075526,2
NR4A2,-1.54007456973635,0.123542177715679,0.453254489373872,0.0182622390159819,2
NUP93,1.53988177138564,0.123589174871918,0.453299367413486,-0.0531914390414764,2
MERTK,1.53967851038092,0.123638737550339,0.453353627367511,0.505085033039799,2
GSN,-1.5383438220392,0.123964570281717,0.454389823911091,0.0820279157580064,2
CRELD2,1.53821876350266,0.123995134680723,0.454389823911091,-0.158296353893949,2
SEC14L4,1.53809300968312,0.124025874936696,0.454389823911091,0.485814109603946,3
C1orf54,1.53758472515559,0.124150184614674,0.454717487974925,0.125787125481519,2
GSK3B,-1.53729260087797,0.124221672582324,0.454737684276303,-0.080406237841798,3
EPHA3,-1.53687319261927,0.124324365335519,0.454737684276303,-1.42610919637087,2
SLC6A4,1.53666879923702,0.124374435363445,0.454737684276303,0.576803287083568,3
CLEC3B,1.5366143966479,0.124387764957685,0.454737684276303,-0.127259811578274,2
PTPN3,1.53654961363724,0.124403639391931,0.454737684276303,0.166597229257956,3
INPP1,1.53634733898688,0.124453214959283,0.454737684276303,0.00854071469704148,2
RGN,-1.5362334196463,0.124481142274294,0.454737684276303,-0.207622403481798,2
ENAH,-1.53622699031722,0.124482718569389,0.454737684276303,-0.13609281294795,3
LOC729815,-1.53613304069748,0.124505754214557,0.454737684276303,-0.0611163522568286,2
WDR46,-1.53601872968623,0.124533786782866,0.454737684276303,-0.25967467217757,3
AFG3L2,-1.53592376308842,0.124557079250732,0.454737684276303,-0.291702182791789,2
SLC8A2,-1.53585396375583,0.12457420110706,0.454737684276303,-0.217190115097349,3
WNT10B,1.53539754160844,0.124686207234163,0.454892002122762,-0.60332484762998,2
MAB21L2,1.53539736682599,0.124686250140866,0.454892002122762,0.638953801014837,3
