gene,meta_Z_OA,meta_P_OA,meta_FDR_OA,mean_logFC_OA,meta_Z_OP,meta_P_OP,meta_FDR_OP,mean_logFC_OP,same_direction,shared_score
CHRND,0.594332625987356,0.552289661154438,0.746518069807253,0.248687921932483,-0.622262316940523,0.53376939538621,0.814660982375149,-0.105661773407153,FALSE,0.530479417557728
MUC13,0.758490825217755,0.448157203469024,0.665867134515795,0.270593862018705,0.442687480655586,0.657991799063069,0.876131729924288,-0.0478309243185503,TRUE,0.530349137757361
ITGA9,-0.794082285228622,0.427147529716099,0.64758563031485,0.103389405647868,0.397790201244982,0.690784840797166,0.893009583620157,-0.220571500891018,FALSE,0.530079302458074
CAPRIN1,0.794574960695633,0.42686078843823,0.647332617816898,0.1015039385424,-0.3971050512751,0.691289995170085,0.893181763139109,-0.0692094136803364,FALSE,0.530053466270994
CPA1,-0.385153612566201,0.700123608966375,0.837918411536875,0.288152272752792,-0.803754596153599,0.4215387164419,0.742060662034013,0.117394549825623,TRUE,0.529987808401585
SLC39A2,0.510093896777312,0.609985680813151,0.783200442665357,0.0353517837301025,0.699692638579171,0.484119274719111,0.784619999652561,0.153016875413851,TRUE,0.529727985790407
SYCP1,0.387025841450534,0.698737077164964,0.837169289152548,0.147854895299004,0.801774855576035,0.422683206073945,0.74287185927998,-0.153130534956686,TRUE,0.529671218206832
PRB4,0.309772442116948,0.75673400946697,0.870897162823589,0.15980628972859,0.858561255563361,0.390582621523812,0.7194003962124,-0.142761213870793,TRUE,0.529343831341505
CEP63,0.506500641850417,0.612505239212912,0.784400167984695,0.0657275092568295,0.701519541479469,0.482978843721806,0.783863722092188,-0.104591943755774,TRUE,0.528962084656859
MMP2,0.0161464917369799,0.987117523297721,0.993463475883908,0.536227691925522,1.03701432824853,0.299729179617372,0.649500479356306,0.519668043807638,TRUE,0.528902113439316
CHMP6,0.153287981156159,0.878171178310373,0.939896701857106,0.167229684435223,-0.959677049503078,0.337217777459389,0.676231848277975,-0.103539815668758,FALSE,0.528510358888858
BCHE,1.0133835067508,0.310877014295775,0.543929772864725,0.0867863960016435,0.0591587902400283,0.952825632748541,0.987033803796058,-0.3079300883694,TRUE,0.528397955800197
GPR21,0.906540164265967,0.364650016158998,0.595727385745538,0.0735908339292955,-0.237353639927381,0.812382452109764,0.940065210601634,-0.025611970887743,FALSE,0.528363229011989
LRRTM4,-0.118889987700957,0.905362514156391,0.953933464486669,0.097244460419467,0.97953368036254,0.327316355475696,0.668309000294409,0.00958048562739072,FALSE,0.528209784247858
TOR1A,0.904294110849194,0.365839468700469,0.596764617636556,0.212257305862537,-0.239194841149158,0.810954502745901,0.939762062816564,-0.00649444355958638,FALSE,0.527712952817193
GIP,0.133363885518447,0.89390560541047,0.947325737227465,0.0555441029790175,0.969717736063303,0.332187207344592,0.671949890872811,0.0755674555024077,TRUE,0.527325435792928
GPX1,0.723885768196386,0.469135867953698,0.684441605299277,0.229183216931782,0.476985313797138,0.633372579522031,0.861674684455729,0.071059143474797,TRUE,0.52704210402571
TREM2,-0.822682694409049,0.410688458997884,0.633448453794383,0.727918349387221,-0.350836544467299,0.72571097914925,0.90663461311939,-0.15827330771544,TRUE,0.525723807850586
ACOXL,-0.925816368420953,0.354541419233286,0.585679218620272,0.0978160023826669,0.201026477700553,0.840677870451385,0.949607690967788,0.281419632321041,FALSE,0.525703405712446
BNC2,-0.295063343428744,0.767945491410621,0.877714209787035,0.142836885831202,0.862190618823928,0.388582631183472,0.717582521005811,-0.0112266535029404,FALSE,0.525186220335519
PDPR,0.753196932223628,0.45133158256591,0.6683048327453,0.0790705700582702,-0.43752651897502,0.661729548222383,0.87787152773269,0.15778309123651,FALSE,0.524823747409287
PEX26,0.455840774691644,0.648504480775306,0.805942197871709,0.119871729224013,0.737654404356838,0.460724486104841,0.769537671213376,-0.229018193859442,TRUE,0.524645724559704
TAF7,-0.810124359343157,0.417868705328545,0.639947778195087,-0.13180708673649,-0.364599124764519,0.715410668270819,0.903086445764304,0.0279735234651862,TRUE,0.524404740354231
SMPDL3A,0.578656639210841,0.562820879166039,0.753885797173264,-0.127765167008863,0.626045649834412,0.53128499950234,0.813459970468649,-0.194683827077339,TRUE,0.524302245710396
ARTN,0.473169361296536,0.63609235476414,0.799953770622746,0.348013657791528,0.721214470127004,0.470777570252353,0.776431664371417,0.498419629784874,TRUE,0.523664061087505
DCT,0.336616847567782,0.736405754166623,0.859498104430887,-0.10725577472928,-0.829790169578111,0.406657429791498,0.732902965775298,-0.254635558100031,FALSE,0.523654115201357
RSF1,-0.37648619995559,0.7065554729623,0.842128679128187,-0.212899799715257,0.799206972964744,0.42417040936362,0.743181667252384,0.182495007350006,FALSE,0.523313366889393
KRT13,0.339824786629494,0.733988480548097,0.858808731948247,-0.11972716119527,-0.826362241762954,0.408598635608931,0.733542284139455,0.487095976889628,FALSE,0.523013843883784
PKMYT1,0.83451391437054,0.403991449779867,0.62826145012621,0.395419312406138,-0.326849338146072,0.743781840565766,0.914538849960933,0.2540688899697,FALSE,0.52218225550425
SLC7A6,0.494609144504571,0.620876045973991,0.789860210647869,0.25308123414679,0.699423712107881,0.484287273349476,0.784619999652561,-0.198975749382889,TRUE,0.521892039038024
CNGB3,0.609286845810492,0.542334324570253,0.739832369571729,0.177016625119315,0.590308908393419,0.554983568039899,0.825002723499055,0.421472182207087,TRUE,0.521452783295232
NBR1,-0.38462322089681,0.700516587435008,0.838043019628863,-0.00637941089188336,-0.789486239708955,0.429827869104514,0.748444820075947,-0.130251755046394,TRUE,0.521287005879401
RASGRP3,-0.142842823662301,0.886414315453616,0.943293255023658,0.314779833405654,0.954187028974723,0.339988979213573,0.678261367803821,0.0176847234211537,FALSE,0.520898399211526
RPS15,-0.974028537835941,0.330042369783972,0.565084431511566,0.0136097281700179,0.108372855184799,0.913699932720695,0.975508114481446,0.150293131236954,FALSE,0.520626710273389
PMP2,0.20370933189463,0.838580649313232,0.91897617671518,0.0626455324065672,-0.91526774913006,0.360051085635622,0.696027591638677,-0.664821852853773,FALSE,0.520091038633798
VAV3,0.048856174505415,0.961033914804134,0.979927401766868,0.111016524692365,-1.00646936116983,0.314189842885644,0.658531001669493,-0.326608313113106,FALSE,0.520069144766679
KPNB1,-0.852180349277623,0.394114001510493,0.620182901607369,-0.0893510380912824,0.297212991479525,0.766303904018024,0.921841185025465,-0.214002332434151,FALSE,0.519977097753534
GATA3,0.683974333636655,0.493991373241157,0.703598999703452,0.222776914980186,0.507688360221354,0.611671912650109,0.852175898977374,0.224901257265152,TRUE,0.519762096663169
MTMR12,0.814154678660898,0.415556345148769,0.638163156141171,0.0598131441145053,-0.348810939961417,0.7272312497555,0.907490502972721,-0.208357270445804,FALSE,0.519697549416535
LUZP2,-0.247240331987986,0.804722233553256,0.899113796648856,-0.00559986934131281,-0.885862833428594,0.375691446023625,0.707518224389855,0.0225274076269305,TRUE,0.519522692559135
MIER2,-0.966627519104827,0.33373027251024,0.56824628052579,0.152579328131627,0.117373488684048,0.906564091803162,0.971936292798999,0.138834786516474,FALSE,0.519205883872311
GIMAP6,0.83033675562869,0.406348412349984,0.629947545927337,0.0172511231135998,-0.325525618650736,0.744783296644942,0.914809714337393,0.315426654676743,FALSE,0.519071504644552
GABRA3,-0.0526353373561172,0.958022460845211,0.979196727895839,0.187856735602076,-1.00268570539235,0.316012529039645,0.660357979161666,0.00911124210296103,TRUE,0.518920007206057
RGS6,-0.60066453629305,0.54806344412917,0.74456377104845,-0.15542934729083,0.593898855425478,0.552579764615213,0.823532695258631,0.159036994763743,FALSE,0.51877418735921
SHOX2,0.926087781800858,0.354400363078784,0.585628122472773,0.28819974005389,-0.183133166560663,0.854693532664497,0.953567979157386,-0.0658496557170954,FALSE,0.518695424123922
CIITA,0.517464143779157,0.604832192845224,0.779827804620925,-0.0621299605423435,-0.673036840374927,0.500923853683614,0.795748163645684,-0.0338005482471222,FALSE,0.518593388083719
SLC7A1,-0.0681245467690079,0.945686490249126,0.972528990538102,-0.291677357115204,-0.993291347775152,0.320567992797883,0.66463445032463,-0.234141113541193,TRUE,0.518332657173426
GDAP2,-0.290998111411187,0.771052763913114,0.87886731841173,-0.010610249987134,0.853325856339181,0.393478625242296,0.721263569073511,-0.132151990799836,FALSE,0.517994756368439
CTCF,-0.888136537759273,0.374467310688993,0.604271868847102,-0.039144805765513,0.238963325202327,0.811134021197523,0.939762062816564,-0.061317696344551,FALSE,0.517493470972612
PRSS22,-0.945923121366631,0.344187799488836,0.576502216447122,-0.00654900992774579,0.147202640286043,0.882972076654759,0.965052213537418,0.0313720411804355,FALSE,0.517257558731113
CACNG3,0.290166063148303,0.77168919751412,0.879209652098674,0.379587640578314,0.852396060664819,0.39399430584524,0.721356747321602,0.183989096557834,TRUE,0.517067633893009
IFITM2,0.905315103808032,0.365298477035206,0.596245716067437,0.0810137263764437,0.21023711474565,0.833482613437242,0.947037884023495,0.0575214732984735,TRUE,0.516455593584673
TTF1,-0.580295473598014,0.561715379330372,0.753464488703176,-0.0857045306003478,0.609399544486705,0.542259639757832,0.819586911252843,-0.0128602669459957,FALSE,0.516276404101371
