gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
BCAS3,-1.5112715582896,0.130719277237641,0.322897240503314,0.00887029988995866,2
STARD3,1.51111351724749,0.130759531341789,0.322922829802013,0.0516099912014516,3
SEPHS1,1.51005734464254,0.131028792413945,0.323513832149813,0.277694355562969,2
ADIPOR2,1.50911558311884,0.13126924793568,0.324033458912525,0.14716393560323,4
ST8SIA3,1.5086631881244,0.131384877393469,0.324244789948425,0.664365563543279,3
RAB11B,1.50813123074236,0.131520943516842,0.324506448576732,0.183482883111715,3
ATG4A,1.50748165451596,0.131687242741923,0.324690265147526,0.30511133823296,2
HRG,-1.50742894301878,0.131700744656598,0.324690265147526,-0.0616206255872339,3
PFDN1,1.50741176569353,0.13170514481614,0.324690265147526,0.191755354100889,4
TTC22,1.50737065239195,0.131715676900246,0.324690265147526,0.509355066347737,2
SMCP,1.50690619133904,0.131834704245035,0.324909531201202,0.255095553582452,4
AKAP6,-1.50577278680089,0.132125511482902,0.325551955985016,0.0682614948598827,2
MEP1B,-1.50548777983716,0.132198716282767,0.32565804635951,-0.197753817602251,2
HEY1,1.50500095794145,0.132323830454435,0.325891932642227,0.425839346374229,3
MTCH2,1.50458528141478,0.13243073270466,0.326080869540856,0.217357839662435,2
HECW1,1.50443003930672,0.132470674484281,0.326104882812035,0.245517148268575,3
TACC1,1.5039303440887,0.132599302930242,0.326347156585208,-0.0612904657136684,2
WNT10B,1.50338565750118,0.13273962293068,0.326618088131482,0.432257346795712,3
ARL6IP5,1.50290237477906,0.132864220552716,0.326850218722486,0.383714520693866,3
CASP6,-1.5017807609864,0.133153738541777,0.32748786059387,0.00125312414500314,2
ITGAM,1.5015682166732,0.133208656808142,0.32750084510147,0.866336420747811,2
PDXK,-1.50152565967151,0.133219655006097,0.32750084510147,-0.276243108855093,3
NUP85,-1.50114442630784,0.133318210215233,0.327668556711024,-0.128701653013851,4
PCSK1,-1.5006731471219,0.133440121759625,0.327864946268621,-0.588850658619517,3
CYCS,-1.50060089568141,0.13345881954667,0.327864946268621,-0.0509753447750435,2
CCDC92,1.50016117544757,0.133572657471411,0.32806999681814,0.247360520846388,3
POU2F2,1.49974610714691,0.133680182245741,0.328259451834166,0.386509384998339,2
GABRD,-1.49956169379207,0.133727976597584,0.328302182547069,-0.00396129999353364,2
MYL4,1.49930447989361,0.133794660720564,0.328391257692237,0.145547888227545,3
SLC6A12,1.49918520735203,0.133825591513949,0.328392557822281,0.256258765235348,3
CTNS,1.49903936872747,0.133863419171696,0.328410777627223,0.0970260914459001,3
ARHGAP24,1.49768622798084,0.134214791650144,0.329198042553328,0.0427891485503268,3
UBR2,-1.4966177076268,0.134492759879096,0.329804947154143,-0.2573964333548,4
MYOZ1,1.49641347830868,0.134545939361905,0.32986047139975,0.178268113605166,4
LILRA5,1.49615301656641,0.134613784848267,0.329951918296115,0.285231073345239,2
ACOX1,1.49546684359018,0.134792646881762,0.330315374686204,0.247359988558189,4
THUMPD1,1.4940443289277,0.13516403330536,0.331084364994119,0.222212786869186,3
EIF4G2,1.49403010321002,0.135167751307542,0.331084364994119,0.160397233599951,3
KLHL9,1.49378809275089,0.135231014735108,0.331164230598195,0.15109208772208,4
PTP4A3,-1.49270938823666,0.135513274805888,0.331780234463554,-0.46686363931381,3
ABCF2,-1.4919088527635,0.135723041570704,0.332218512360468,-0.00128229107536198,2
SSX1,1.49173901576584,0.135767576707262,0.332252234615278,0.107333478676865,3
JPH3,-1.49153724701954,0.135820499743578,0.332306463925285,-0.0445252458708057,3
ITGA6,1.49103541169451,0.135952197981637,0.332485074709175,0.288608642355612,3
AFAP1,1.49102450421047,0.135955061561787,0.332485074709175,0.600556572550598,2
PSMB2,1.49011642310471,0.136193626662945,0.332993108921034,0.211016641786767,4
AZI2,-1.48923783761583,0.136424750330678,0.333415046105266,-0.174100461918996,4
MYH13,1.48922575716506,0.136427930363384,0.333415046105266,0.607153918789456,3
RCE1,-1.48860432120728,0.136591593051673,0.333707073952632,-0.136814303530085,4
PSMB9,-1.48853746487442,0.136609209499957,0.333707073952632,0.102295218502781,3
SLC6A11,1.48831905500589,0.136666772081791,0.333772207105473,0.324662801433423,3
ANKRD7,1.48773173471984,0.136821654955856,0.33404942463536,0.453686614152309,3
TRIM27,1.4875502571004,0.136869539994975,0.33404942463536,0.0778857102036424,4
MRPS34,1.48753693297686,0.13687305623367,0.33404942463536,0.320807323703973,4
SDS,-1.48721106031521,0.136959075788005,0.33418385738921,-0.0343041978413045,3
AQP4,-1.48647889038994,0.137152496429988,0.334580231805946,0.133944851404587,2
CLSTN2,1.48626558277846,0.137208886481202,0.33464221986226,0.0153431825262385,2
EFR3A,-1.48517260848515,0.13749810602314,0.335116135904837,-0.0993694312116815,3
CXXC4,-1.48506094914828,0.137527679423643,0.335116135904837,-0.195184952653162,2
INTS5,-1.48505542849325,0.137529141717378,0.335116135904837,-0.0837892986551475,3
RPS6KA3,1.48498821063788,0.137546947133051,0.335116135904837,0.230742924328334,3
MIA,-1.4849452891351,0.137558317589525,0.335116135904837,0.136644869532873,2
CAPNS1,1.48437894828817,0.137708416421968,0.335406158780179,0.1520795944334,3
SCAND1,-1.48425047123804,0.137742484603628,0.335413507368887,-0.174416123567417,3
SNURF,1.4839658154242,0.137817989759271,0.335481847552363,0.106643850710477,3
SKP2,1.48391050620735,0.137832664269338,0.335481847552363,0.594877214566835,2
HCP5,-1.48280386395289,0.138126529173804,0.336121371510572,-0.21559164314951,2
OXSR1,-1.48258626138594,0.138184369524258,0.33618638729753,-0.123546899442583,3
NMI,1.48218437082819,0.13829124403505,0.336370641312005,0.2817215310341,4
CASK,1.48204606607996,0.138328038059717,0.336378661995083,0.212130561061719,2
CNTN1,-1.48193788873856,0.138356822370316,0.336378661995083,0.263804683679487,3
DGKA,1.48180977653889,0.138390917005985,0.336385842821478,0.134639943936142,4
EAF2,1.48133019487732,0.138518606058731,0.336546164331885,0.244523365759924,3
GALNT1,1.48132801767071,0.138519185948858,0.336546164331885,0.467834160580223,2
SLC25A15,1.48117816746784,0.138559102435355,0.336567444233573,0.252242130822199,3
NENF,-1.4798160385651,0.138922347250179,0.337373919738407,0.04577891775382,2
PSMC3IP,1.47871032766722,0.139217750886256,0.337790111582271,0.144433994902168,3
NEUROG2,1.47868288335183,0.139225089103119,0.337790111582271,0.127964965994874,4
YWHAH,1.47865057279996,0.139233728863606,0.337790111582271,0.144387146522112,3
FAM155A,1.47864997458973,0.139233888827413,0.337790111582271,0.17440889895046,3
PTPN2,-1.47858942690802,0.139250080251421,0.337790111582271,0.0845455062159821,3
LTK,1.47800241803514,0.139407131029849,0.338015204141564,0.353309352946513,3
SF3B2,-1.47791800357277,0.139429726833216,0.338015204141564,-0.234773363790051,4
INVS,-1.47789177648801,0.139436747792521,0.338015204141564,-0.375080961460622,3
PCYOX1,-1.47750326387341,0.13954078403393,0.338191507546446,0.0703509126241244,3
CCHCR1,-1.47712486130607,0.139642170423452,0.338361311106802,-0.16041424321905,4
JUNB,-1.47675250180001,0.139741993014546,0.338527250177871,-0.299643011519599,3
INTS12,1.47622420803784,0.139883712865275,0.338663154751243,0.168832564331606,4
IL15RA,-1.47616883540026,0.139898573505578,0.338663154751243,-0.488674133885398,3
SLC16A8,-1.47612684663267,0.139909843057482,0.338663154751243,0.0705634849893666,2
FAM102A,1.47607596190613,0.139923501171524,0.338663154751243,0.296548891108722,3
MEFV,1.4754064177025,0.140103311007834,0.33902239370668,0.447474626450003,3
CCK,1.47477971993266,0.14027177521122,0.339354023702485,0.461740995362515,3
PSENEN,1.4737918274367,0.140537649422206,0.33990641963057,0.311015568029966,3
ST8SIA4,1.47369755410641,0.140563041704291,0.33990641963057,0.192214746495089,2
THAP7,-1.47327890153016,0.140675847337711,0.34010306690733,-0.15896184388247,4
AGTR1,-1.47295182688978,0.140764025789054,0.340223681492164,0.113745616980857,2
BCL2L14,1.47286022318691,0.140788729519531,0.340223681492164,0.293540071236522,2
CNOT2,-1.47204870354191,0.141007726118744,0.340676684753897,-0.0932373264982287,3
BTN1A1,1.47185362185906,0.141060409860047,0.34072776102599,0.300875791188743,3
PHACTR4,1.47099539186084,0.141292363093217,0.341211738460303,0.195576450615358,4
TCF21,1.47077697918252,0.141351440103828,0.341278108180945,0.388353631949601,3
CDC6,-1.47023117485488,0.14149915411963,0.341558405095027,-0.0444487042266445,3
DHODH,-1.46999317953183,0.141563601221789,0.341637627434711,0.0887071005688951,3
