gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
FOXD3,-0.788710884556146,2.79476989356371,-2.75007252647298,0.0098646084951203,0.94624455191332,-3.92799063968469,GSE7158,OP
COLEC10,0.867837516961772,3.48860541013296,2.74849787790712,0.00990260399056769,0.94624455191332,-3.92875774904496,GSE7158,OP
PPIAL4A,0.916278943566899,3.0388939769302,2.74690160200703,0.00994126084910159,0.94624455191332,-3.92953526050939,GSE7158,OP
SH3GL3,-0.469213746887122,4.9553460332311,-2.74605376695252,0.00996185005862476,0.94624455191332,-3.92994816767986,GSE7158,OP
TRIR,-0.231425481011759,9.35742344213457,-2.74518584218881,0.00998296838557788,0.94624455191332,-3.93037081925267,GSE7158,OP
GSPT2,-0.72843808240546,4.94742965418667,-2.74480606270383,0.00999222231666951,0.94624455191332,-3.93055574710079,GSE7158,OP
NEK5,-0.787406337760073,2.93980080885818,-2.7422970993122,0.0100535587714677,0.94624455191332,-3.93177725553713,GSE7158,OP
RPA2,-0.20279473691694,7.66232541099791,-2.74197193930936,0.01006153362177,0.94624455191332,-3.93193553762298,GSE7158,OP
RBM5,-0.330228415797671,8.04083406458928,-2.73613901011348,0.0102055987666923,0.94624455191332,-3.934773939913,GSE7158,OP
TRAV13-2,-0.709538119456871,3.71106752479549,-2.7338861038821,0.0102617561062393,0.94624455191332,-3.93586975139366,GSE7158,OP
TNFRSF14,0.22675793608697,7.35963192503159,2.73377393325871,0.0102645596643328,0.94624455191332,-3.93592430389865,GSE7158,OP
PARP12,0.326364994476362,7.23852975516643,2.73350974137223,0.0102711656200481,0.94624455191332,-3.93605278697585,GSE7158,OP
PGR,0.827837803546137,3.25062653122975,2.72989277673542,0.0103620055101852,0.94624455191332,-3.9378114253663,GSE7158,OP
FBLL1,-0.380787276098044,5.39683029156599,-2.72738471232194,0.0104254349685043,0.94624455191332,-3.9390304761759,GSE7158,OP
GBP4,0.622317226975006,5.80067688236057,2.72566048424202,0.0104692509646946,0.94624455191332,-3.93986834165237,GSE7158,OP
